item1,item2,similarity
Item_12,Item_16,0.013828697174183
Item_12,Item_17,0.27374842336802
Item_12,Item_18,0.18954516112008
Item_12,Item_20,0.011187110137753
Item_13,Item_2,0.043434785622064
Item_13,Item_3,0.02705631771886
Item_13,Item_4,0.080582089006722
Item_13,Item_6,0.077261364251377
Item_13,Item_7,0.66881487269328
Item_13,Item_8,0.069372552350406
Item_13,Item_10,0.044956852951349
Item_13,Item_11,0.17790361988052
Item_13,Item_14,0.1896820657986
Item_13,Item_16,0.12191220479507
Item_13,Item_20,0.18296047389608
Item_14,Item_1,0.19602479793593
Item_14,Item_4,0.14680371023878
Item_14,Item_6,0.12256582019807
Item_14,Item_8,0.048707216165881
Item_14,Item_13,0.1896820657986
Item_14,Item_16,0.19437738477897
Item_14,Item_17,0.2163653587244
Item_14,Item_20,0.0069543030262357
Item_15,Item_4,0.085937250603033
Item_15,Item_6,0.14121370089843
Item_15,Item_8,0.11701920815119
Item_15,Item_9,0.13654843634703
Item_15,Item_10,0.093877539648022
Item_15,Item_11,0.19623551704556
Item_15,Item_12,0.032151311747437
Item_15,Item_16,0.12664277680458
Item_15,Item_18,0.16950555405421
Item_15,Item_19,0.24895903789705
Item_15,Item_20,0.059459409292642
Item_16,Item_1,0.061088141386233
Item_16,Item_6,0.16146598367331
Item_16,Item_7,0.2446334444927
Item_16,Item_9,0.22536801662472
Item_16,Item_10,0.35889271704139
Item_16,Item_12,0.013828697174183
Item_16,Item_13,0.12191220479507
Item_16,Item_14,0.19437738477897
Item_16,Item_15,0.12664277680458
Item_16,Item_18,0.058441632035095
Item_17,Item_1,0.052045470730135
Item_17,Item_2,0.053392538270985
Item_17,Item_4,0.034169383637715
Item_17,Item_6,0.33236189669511
Item_17,Item_7,0.12070144288246
Item_17,Item_8,0.19319980925999
Item_17,Item_12,0.27374842336802
Item_17,Item_14,0.2163653587244
Item_17,Item_18,0.051703262545297
Item_17,Item_19,0.013558153613666
Item_17,Item_20,0.063578106235101
Item_18,Item_1,0.35825415145948
Item_18,Item_2,0.22611865382503
Item_18,Item_3,0.033145196006541
Item_18,Item_4,0.1512900299829
Item_18,Item_6,0.19600937437162
Item_18,Item_7,0.084954176849691
Item_18,Item_8,0.51108824819043
Item_18,Item_9,0.13061461430645
Item_18,Item_10,0.018171808922495
Item_18,Item_12,0.18954516112008
Item_18,Item_15,0.16950555405421
Item_18,Item_16,0.058441632035095
Item_18,Item_17,0.051703262545297
Item_18,Item_20,0.063627331416624
Item_19,Item_2,0.16207459013945
Item_19,Item_4,0.048522826648862
Item_19,Item_7,0.14386101582486
Item_19,Item_9,0.15371829873397
Item_19,Item_11,0.28736583939006
Item_19,Item_15,0.24895903789705
Item_19,Item_17,0.013558153613666
Item_19,Item_20,0.012819718559619
Item_20,Item_1,0.0058851638290865
Item_20,Item_4,0.30778193509359
Item_20,Item_6,0.11788885747605
Item_20,Item_9,0.19180502054945
Item_20,Item_11,0.0056877420007966
Item_20,Item_12,0.011187110137753
Item_20,Item_13,0.18296047389608
Item_20,Item_14,0.0069543030262357
Item_20,Item_15,0.059459409292642
Item_20,Item_17,0.063578106235101
Item_20,Item_18,0.063627331416624
Item_20,Item_19,0.012819718559619
